ID,Course,Assignment Name,Importance (1-5),Due Date,Done
22550c3c244bb8ee28d316b482390af5,CS 103F,Blog Post #1,2,01/21/2022,X
f319e9b9b11199e5b6915513cb17b558,HIS 315K,Read Syllabus,1,01/23/2022,X
6ba4f0a07fd99fe2a5a7e30d0ed692e0,HIS 315K,Watch Welcome Video,1,01/23/2022,X
e2f5634c28461f79dfb58c291b937198,HIS 315K,Week 1 Module,2,01/23/2022,X
b1e314d13d6b5784b659d57252ba0270,HIS 315K,How to use Inquizitive,1,01/23/2022,X
1606223578e3083d65b99ca34761a640,CS 103F,Blog Post #1 Peer Review,2,01/24/2022,X
4bc2aaa2ec900f9c27dfe8c21163f686,CS 439,Problem Set 0,2,01/25/2022,X
cbcaa1e2f6bc074aa6c5ca293ec7a0fa,CS 439,Problem Set 1,2,01/28/2022,X
5437b458099b3c174ef01040d3cd2b0f,CS 103F,Blog Post #2,2,01/28/2022,X
27d7231b80da3874fc941a811549f321,HIS 315K,Chapter Quiz,2,01/28/2022,X
d0aa816c21adf727fd474860b82c0651,HIS 315K,Lecture Quiz,2,01/28/2022,X
fba05f7a15db78fda590be3a61ec9c83,CS 103F,Blog Post #2 Peer Review,2,01/30/2022,X
789294e4861e2cdceb5c88ad113d200d,CS 439,Problem Set 2,2,02/04/2022,X
1be936272800d559554c5b705e23534f,CS 103F,Blog Post #3,2,02/04/2022,X
27d7231b80da3874fc941a811549f321,HIS 315K,Chapter Quiz,2,02/04/2022,X
d0aa816c21adf727fd474860b82c0651,HIS 315K,Lecture Quiz,2,02/04/2022,X
4293c7461ac56a7a77ca205b5f2cafd8,CS 103F,Blog Post #3 Peer Review,2,02/07/2022,X
8f9ce0e22b2da056c9da37b08f7f077a,CS 439,Project 0 Code,5,02/10/2022,X
03a5e58e2b24910d288fdbd955afbd86,CS 439,Project 0 Design Doc,4,02/11/2022,X
ea2dbc7d8816df74664db74aa73073d7,,Shell Group Evaluation,2,02/11/2022,X
ca692b474228b3cec1f42df4f6e873a6,CS 103F,Blog Post #4,2,02/11/2022,X
27d7231b80da3874fc941a811549f321,HIS 315K,Chapter Quiz,2,02/11/2022,X
d0aa816c21adf727fd474860b82c0651,HIS 315K,Lecture Quiz,2,02/11/2022,X
30938155837fed29ad370f7a20197688,HIS 315K,Create ClioVis Account,1,02/11/2022,X
6d0f405a524981e68af03dfd9b071fb2,HIS 315K,Contact group members,4,02/11/2022,X
a6bf6552eb0fc98b36672cfcd2351095,CS 439,Project 1 group registration,1,02/14/2022,X
4052ee4b971ced354e55699f6529b8ca,CS 103F,Blog Post #4 Peer Review,2,02/14/2022,X
129f6c7d8630f03a3842ce2721c59dcf,CS 439,Problem Set 3,2,02/18/2022,X
8bbebcf47325c70031d57bd820766a8b,CS 103F,Blog Post #5,2,02/18/2022,X
2f56024497f761ac40ea1c61d3e3f885,HIS 315K,Paper 1 Due,5,02/18/2022,X
27d7231b80da3874fc941a811549f321,HIS 315K,Chapter Quiz,2,02/18/2022,X
d0aa816c21adf727fd474860b82c0651,HIS 315K,Lecture Quiz,2,02/18/2022,X
86baca1875b5b265adb477162b6bb1dc,CS 103F,Blog Post #5 Peer Review,2,02/21/2022,X
b88e51a2e982a71f46716c551c0b07b6,CS 439,Exam 1,5,02/23/2022,X
130f9b5923c4c9624e0dd14ab4ec22af,CS 439,Project 1 Code,5,02/24/2022,X
9b7c1b0878be29c63392d424cd51ccde,CS 439,Project 1 Design Doc,4,02/25/2022,X
1a5a992574becaeddf3247a2ef481250,CS 439,Threads Group Evaluation,2,02/25/2022,X
846df966fbc45da03a7939b82d05da55,CS 103F,Blog Post #6,2,02/25/2022,X
27d7231b80da3874fc941a811549f321,HIS 315K,Chapter Quiz,2,02/25/2022,X
d0aa816c21adf727fd474860b82c0651,HIS 315K,Lecture Quiz,2,02/25/2022,X
f017d70e59a455029797ed4fe415db12,CS 439,Project 2 group registration,1,02/28/2022,X
dc432582b3b56f4483565884f2c9b865,CS 103F,Blog Post #6 Peer Review,2,02/28/2022,X
392f44939b46dbea1118e7470acc3a06,CS 439,Problem Set 4,2,03/04/2022,X
cd6036b770540f44f178af1654ca5269,CS 439,Userprog Group Planning and Reflections,3,03/04/2022,X
5651b6307edf8f0cdfdec6264ec1f9fc,CS 103F,Blog Post #7,2,03/04/2022,X
27d7231b80da3874fc941a811549f321,HIS 315K,Chapter Quiz,2,03/04/2022,X
d0aa816c21adf727fd474860b82c0651,HIS 315K,Lecture Quiz,2,03/04/2022,X
2f0edc60dd16f1340f92ad28a09892d2,CS 439,Project 2 Stack Check,5,03/07/2022,X
5d175c0ecca1d4b3823f57b8c04408c1,CS 103F,Blog Post #7 Peer Review,2,03/07/2022,X
